127.0.0.1 - - [21/Sep/2016:19:47:06 -0400] "GET / HTTP/1.1" 404 994
153.104.25.189 - - [21/Sep/2016:19:47:21 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:47:28 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:19:49:09 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:49:21 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:19:49:47 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:19:50:33 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:19:51:16 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:51:57 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:19:52:36 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:00:06 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:00:32 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:02:35 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:03:04 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:04:07 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:04:32 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:04:45 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:08:12 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:08:21 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:12:11 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:13:13 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:14:15 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:14:51 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:14:54 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:17:36 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:17:51 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:18:48 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:18:49 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:19:25 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:19:43 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:23:13 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:23:24 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:20:24:35 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
153.104.25.189 - - [21/Sep/2016:20:24:45 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
