127.0.0.1 - - [14/Oct/2016:22:28:28 -0400] "GET / HTTP/1.1" 404 994
10.0.0.7 - - [14/Oct/2016:22:28:38 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:22:46:06 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:22:46:25 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:22:47:10 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:22:49:45 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:22:49:46 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:22:53:19 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:01:15 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:23:06:04 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:06:05 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:12:40 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:13:50 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:13:57 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:15:00 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:23:15:10 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:17:56 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:20:00 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:20:18 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:23:28 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:23:23:44 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:23:24:18 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:27:15 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:23:27:23 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:44:53 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:45:43 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:45:59 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:46:18 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:46:51 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:49:02 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:49:17 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:51:07 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [14/Oct/2016:23:51:12 -0400] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:51:53 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:52:33 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [14/Oct/2016:23:59:17 -0400] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
