127.0.0.1 - - [22/Dec/2016:20:39:50 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Dec/2016:20:41:00 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:20:41:04 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:20:46:09 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:03:52 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:11:29 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:11:38 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:12:13 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:14:06 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:15:36 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:25:36 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:21:25:37 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:30:59 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:21:31:06 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:32:22 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:21:32:38 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:42:18 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:21:43:33 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:21:44:09 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:50:39 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:54:30 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:21:55:24 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:22:03:48 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:22:03:55 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:22:07:58 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:22:18:17 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:22:18:26 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:22:19:20 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:22:21:40 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:22:32:02 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
10.0.0.7 - - [22/Dec/2016:22:33:44 -0500] "GET /VizardServer/DataPointServer/1 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:22:39:49 -0500] "GET /VizardServer/DataPointServer/0 HTTP/1.1" 101 -
